id,site_name,title,url,details,status,processed_at,age_requirement,apply_method,budget,business_years,debt_ratio_max,funding_type,recruit_end_date,recruit_start_date,region,required_documents,revenue_range,target_types
b80d54d8be1ce7763b39f8b16c40d7d73026c1ccd045d8375bdbea92453ac961,중소벤처기업진흥공단,2026년 중소기업 정책자금 융자계획 공고 개정(2차),https://www.kosmes.or.kr/nsh/SH/NTS/SHNTS001F0.do?seqNo=6107059&nowPage=1&tabPage=01,"중소벤처기업부 공고 제2026-281호 중소기업진흥에 관한 법률 제66조 및 제67조에 따른 ""2026년도 중소기업 정책자금 융자계획""을 다음과 같이 변경공고합니다. <주요 변경사항> 1. 추가경정예산 확정에 따른 중소기업 정책자금 변경(증액 5,500억원) 반영 - 해당자금 : 긴급경영안정자금, 신시장진출지원자금(수출기업 글로벌화), 혁신창업사업화자금(창업기반지원), 재도약지원자금(재창업) - 반영내용 ① 긴급경영안정자금 +2,500억원 ② 신시장진출지원자금(수출기업 글로벌화) +1,000억원 ③ 혁신창업사업화자금(창업기반지원(일반)) +1,500억원 ④ 재도약지원자금(재창업) +500억원 2. 추경 정책자금 신청요건 완화 - 긴급경영안정자금 : 일시적 경영애로-경영애로 사유에 '중동전쟁 피해기업' 사유를 추가하고, 동 사유는 '경영애로 규모', '우량기업' 기준 적용 예외 및 수시접수 대상 포함 - 신시장진출지원자금(수출기업 글로벌화) : '수출국 다변화' 기업은 '우량기업' 기...",SUCCESS,2026-04-24 01:32:24,명시안됨,명시안됨,"총 5,500억원 증액",명시안됨,명시안됨,LOAN,null,null,전국,명시안됨,명시안됨,CORP
30125a2f272ced997ad89d27c7e0856723d20b5b9b850d2d478b8f5a31f29138,중소벤처24,2026년 하반기 중소기업기술혁신개발사업 유망기술개발(구조혁신R&D) 시행계획 공고,https://www.smes.go.kr/main/sportsBsnsPolicy/view?viewPblancSeq=266466449&viewCntcInsttCd=BI16&viewPblancId=PBLN_000000000120845,"「2026년도 중소기업기술혁신개발사업」유망기술개발(구조혁신R&D)하반기 시행계획을 다음과 같이 공고하오니, 동 사업에 참여하고자 하는 중소기업은 사업 안내에 따라 신청하시기 바랍니다. ☞ 「중소기업기본법」제2조의 중소기업 중 최근 2년 이내 ‘사업전환계획 승인기업’으로 중소벤처기업진흥공단이 구조혁신R&D 대상으로 추천한 기업(중진공→기정원) ☞ 중소기업 유망기술개발 (구조혁신R&D) 지원",SUCCESS,2026-04-24 01:32:10,제한없음,명시안됨,명시안됨,제한없음,명시안됨,GRANT,null,null,전국,명시안됨,제한없음,CORP
c00293a7a9031cc24eaa6bee3792e722147dc1dec6eaddba8a254ef17e350bb9,정부24(보조금24),HACCP 인증 준비업체 기술지원,https://plus.gov.kr/portal/benefitV2/benefitTotalSrvcList/benefitSrvcDtl?svcSeq=2002015&bnefType=all&svcId=B55374800003,"○ HACCP 의무적용 업체(식육가공업, 식육포장처리업 등) 및 HACCP 적용 희망업체 기술지원
 - 식품위생법축산물 위생관리법 준수사항
 - 식품 및 축산물 안전관리인증기준(고시) 내용
 - 도면검토(동선, 구역설정) 및 선행요건 및 HACCP 관리",SUCCESS,2026-04-24 01:32:00,제한없음,명시안됨,명시안됨,제한없음,명시안됨,GRANT,null,null,전국,명시안됨,제한없음,CORP
1bd8616e6ac388cfb763b19f4c25951feff207f517190ff92c5acb2dc9e2ec7a,중소벤처기업진흥공단,[GBC 특성화프로그램] K-뷰티 인도네시아 시장진입 종합지원 프로그램 참여기업 모집 공고(~5.8.),https://www.kosmes.or.kr/nsh/SH/NTS/SHNTS001F0.do?seqNo=6107056&nowPage=1&tabPage=01,"국내 K-뷰티 분야 중소벤처기업의 인도네시아 시장 진출 지원을 위한「K-뷰티 인도네시아 시장진입 종합지원 프로그램」을 다음과 같이 안내하오니, 관심 있는 기업들의 많은 참여 부탁드립니다. □ 모집규모 및 대상 - (모집대상) K-뷰티 분야 영위 인도네시아 수출(예정) 중소벤처기업 - (지원기간) 선정시점 ~ 11月 - (지원규모) 10개사 내외 □ 신청기간 : 공고 게시일 ~ 5월 8일(금) 18시까지(한국시간 기준) □ (문의처) 자카르타GBC 김유나 소장, 정태철 차장 - 전화 : +62-821-2590-7343, +62-812-8880-8595, +62-21-5020-3033 - E-mail : jakarta_gbc@kosmes.or.kr, youna@kosmes.or.kr * 현지 상황에 따라 유선 연결이 어려울 수 있으니, 이메일로 문의 요망",SUCCESS,2026-04-24 01:31:55,제한없음,명시안됨,명시안됨,제한없음,명시안됨,GRANT,2024-05-08 18:00,명시안됨,전국,명시안됨,제한없음,CORP
de1f8c763f1813ab5ce9e091f61c528a65a5f0cc44e3ce800d1d99664b7dab3d,정부24(보조금24),ICT기업 기술개발 지원,https://plus.gov.kr/portal/benefitV2/benefitTotalSrvcList/benefitSrvcDtl?svcSeq=2001528&bnefType=all&svcId=O00046700004,"○ 상용화 이전 단계에 필요한 제품 및 SW개발 지원

○ 국내외 특허 및 인증 획득지원",SUCCESS,2026-04-24 01:31:29,제한없음,명시안됨,명시안됨,제한없음,명시안됨,GRANT,null,null,전국,명시안됨,제한없음,CORP
91e89a297d3ab2d9c41495dc31d0376cdac4f2213d4cb324ca8eb3ddce5c0ea5,중소벤처기업진흥공단,「K-그린 딥테크 유럽 진출 지원사업」 참여기업 모집공고(~5.14 18:00),https://www.kosmes.or.kr/nsh/SH/NTS/SHNTS001F0.do?seqNo=6107057&nowPage=1&tabPage=01,"국내 그린 딥테크 분야 중소벤처기업의 유럽(독일) 진출 지원을 위한 「K-그린 딥테크 유럽 진출 지원사업」에 대해 다음과 같이 안내드리오니 관련 기업의 많은 관심과 참여 부탁드립니다. □ K-그린 딥테크 유럽 진출 사업 안내 - (대상) 유럽(독일) 진출 희망 그린 딥테크 분야 중소벤처기업 * 친환경 에너지, 미래 모빌리티, 자원 순환 등 녹색 대전환(GX) 및 제조공정 지능화(AX), 저탄소 솔루션 분야 산업 영위기업 - (기간) 선정일~2026.11.30. - (규모) 7개사 내외 - (지원내용) 현지 연구, 혁신 기관 협업을 통한 기술 실증(PoC) 지원, 현지 시장 진출 컨설팅 및 대기업 구매 담당자 1:1 미팅 지원 등 * 참여기업 부담금(1백만원 내외) 납부 필요 - (선정방식) 신청서, 사업계획서 등을 기반으로 서류심사 및 선정위원회를 통한 지원기업 선발 * 우대 사항: GBC 입주(졸업) 기업(입주 예정 포함) 우대 * 다른 GBC 특성화 프로그램과 중복 지원 불가 □...",SUCCESS,2026-04-24 01:31:06,제한없음,명시안됨,명시안됨,제한없음,명시안됨,GRANT,2024-05-14 18:00,null,전국,"신청서, 사업계획서",제한없음,CORP
8fe33e4c4bc8fbeb95b3d81864ab0fbe0b26422979a5b2df0b3f8d608702d5bf,중소벤처기업진흥공단,2026년 K-스타트업센터(KSC) 거점형 사업 참여기업 모집공고,https://www.kosmes.or.kr/nsh/SH/NTS/SHNTS001F0.do?seqNo=6107052&nowPage=1&tabPage=01,"국내 유망 스타트업의 해외시장 진출을 지원하는 K-스타트업센터(KSC) 거점형 사업의 참여기업 모집을 다음과 같이 공고합니다. 2026년 04월 16일 중소벤처기업부 장관 < 2026년 중소벤처기업진흥공단 K-스타트업센터(KSC) 입주 및 지원 기업 상시모집 > ■ 공 고 명 : 2026년 K-스타트업센터 거점형 사업 참여기업 모집 ■ 모집기간 : 연중 상시모집 ■ 신청요건 : 투자이력이 있거나 최근 3년 이내 수출 실적이 있는 창업기업 (단, 신산업분야 영위기업은 업력 10년 이내까지 지원 가능) ■ 지원사항 : 해외거점 조기정착(입주공간, 법인설립, 현지시장정보 제공), 사업화 및 투자유치(컨설팅, VC 매칭 및 IR피칭 기회 제공공), 지속 성과창출(네트워크 행사 연계, 후속 투자유치 기회, 중진공 정책사업 안내) ■ 신청링크 : https://www.kosmes.or.kr/nsh/SH/SBI/SHSBI102M0.do ■ 문 의 처 : 중소벤처기업진흥공단 글로벌협력처(055-7...",SUCCESS,2026-04-24 01:30:09,제한없음,온라인 접수 (https://www.kosmes.or.kr/nsh/SH/SBI/SHSBI102M0.do),명시안됨,신산업분야 영위기업은 업력 10년 이내,명시안됨,GRANT,null,2026-04-16 00:00,전국,첨부파일 참조,제한없음,STARTUP
cb1b9740ad0db5a2df61d573174ee1e816276f56d4ea42086f71ac9875055561,중소벤처24,[경북] 영천시 2026년 중소기업 기숙사 임차비 지원사업 참여기업 모집 공고,https://www.smes.go.kr/main/sportsBsnsPolicy/view?viewPblancSeq=268388251&viewCntcInsttCd=BI16&viewPblancId=PBLN_000000000121145,"영천시와 경북경제진흥원에서는 근로자 정주여건 개선을 위한 「영천시 중소기업 기숙사 임차비 지원사업」을 추진하고 있습니다. 참여를 희망하는 기업은 신청하여 주시기 바랍니다. ☞  영천시에 본점 또는 주사업장이 있고 제조, 건설 등 11개 업종에 해당하는 중소ㆍ중견기업 ※ 자세한 지원대상 공고문 참조 ☞ 기숙사 임차비(월세)의 90%지원 ※ 월 30만원, 최대 12개월 지원",SUCCESS,2026-04-24 01:29:54,제한없음,공고문 참조,"기업당 최대 360만원 (월 30만원, 최대 12개월)",제한없음,명시안됨,GRANT,null,null,영천시,공고문 참조,제한없음,CORP
c1345288b9284094bdf72fe57361dbab089a95929081323cafa542e7b8958e30,정부24(보조금24),KB소호컨설팅과 함께하는 금융지원 협약보증,https://plus.gov.kr/portal/benefitV2/benefitTotalSrvcList/benefitSrvcDtl?svcSeq=2156522&bnefType=all&svcId=142100000075,"○ 보증한도 : 같은기업당 재단보증금액 1억원 이내
○ 취급 금융회사 : 국민은행",SUCCESS,2026-04-24 01:29:49,제한없음,명시안됨,기업당 1억원 이내,제한없음,명시안됨,GUARANTEE,null,null,전국,명시안됨,제한없음,CORP
25f755e203834c7026e95747dc7c5b84bfdb752ab6122bbcbb0df4f24ba18548,정부24(보조금24),K-Move스쿨(해외취업연수사업),https://plus.gov.kr/portal/benefitV2/benefitTotalSrvcList/benefitSrvcDtl?svcSeq=999042&bnefType=all&svcId=PTR000050831,"○ 국내·외 우수 교육훈련기관을 활용, 구인기업이 요구하는 어학 및 직무능력, 생활문화 등에 대한 맞춤형 연수과정 제공 후 해외취업 연계
 - 연수비 지원(일부 자부담)
 - 한국산업인력공단이 직접 연수를 실시하지 아니하고 외부 전문 연수기관을 선정하여 연수과정 운영",SUCCESS,2026-04-24 01:29:32,명시안됨,명시안됨,명시안됨,명시안됨,명시안됨,GRANT,null,null,전국,명시안됨,명시안됨,INDIVIDUAL
